episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,global_abm_step,buffer_size,wall_time_s
82,-1402.6019407708325,0.008710927723665165,-2.495436353839344,0.72019175,5886,58907,100000,3761.6
83,-1476.6574612492398,0.008849768383286823,-2.4785676696150625,0.7167764999999999,5997,59626,100000,3810.0
84,-1425.1278001615374,0.008752631745365152,-2.484161268612677,0.713366,5824,60344,100000,3857.4
85,-1346.664038109898,0.008536834917314502,-2.552062374105321,0.70995075,5622,61063,100000,3901.7
86,-1402.9776407657366,0.008776134192793583,-2.5428074516326378,0.706545,5787,61780,100000,3945.3
87,-1332.7544924133645,0.008804308243890495,-2.5631028758763,0.70312975,5457,62499,100000,3988.6
88,-1360.021714822287,0.008479065547983245,-2.6419780783860074,0.6997145,5741,63218,100000,4033.0
89,-1333.2387021636887,0.008177734461839226,-2.6228941808989705,0.69629925,5640,63937,100000,4078.6
90,-1369.5206546065785,0.0086443066895935,-2.631832741907072,0.69288875,5687,64655,100000,4124.3,-1326.411505877835,23.374707296042065,0.41146977301585574,7.516853398198011,0.28824261415397867
91,-1390.9048796276556,0.008791929350174978,-2.514873116999188,0.6894735000000001,5767,65374,100000,4203.3
92,-1454.6518709383483,0.008866628094672101,-2.4727735332855687,0.6860630000000001,5930,66092,100000,4251.0
93,-1352.8598333161763,0.009036075882655497,-2.5667261352007817,0.6826572500000001,5565,66809,100000,4296.4
94,-1454.7589286816649,0.008868530500657022,-2.5053605773735836,0.679242,6025,67528,100000,4348.0
95,-1358.9426590009762,0.008908749034970187,-2.548289875308736,0.6758315,5622,68246,100000,4395.7
96,-1342.2993330057943,0.00872006246876194,-2.6430499490139816,0.6724209999999999,5694,68964,100000,4443.9
97,-1394.191045002873,0.009109152209531655,-2.5456279511079103,0.66901525,5797,69681,100000,4492.2
98,-1374.5693066282581,0.008815992113954375,-2.6592043661076468,0.66560475,5896,70399,100000,4540.5
99,-1412.0452828863936,0.008380222386085824,-2.6147325359567812,0.6621895,6004,71118,100000,4588.2
100,-1416.4299590202395,0.008723325642864354,-2.3986371464922582,0.65877425,5619,71837,100000,4634.2,-1313.882841702113,29.908478386602013,0.40772348096701777,7.500728483867351,0.2828639104366418
101,-1318.7474379168461,0.008695800912766937,-2.7048856500717684,0.65536375,5645,72555,100000,4711.8
102,-1425.620580758632,0.008448943060674318,-2.553409138820501,0.6519485,5953,73274,100000,4760.9
103,-1458.421685401622,0.008652401517053744,-2.3719749115362077,0.6485332500000001,5745,73993,100000,4804.2
104,-1336.946885550608,0.008925926021408865,-2.6753296682004644,0.64512275,5771,74711,100000,4847.3
105,-1385.7242809410802,0.00859084050296213,-2.643171154455647,0.64171225,5954,75429,100000,4895.4
106,-1350.5374763158345,0.008408854261744756,-2.638585433069098,0.638297,5762,76148,100000,4942.6
107,-1452.3046523529254,0.008666833088955947,-2.5794645012389754,0.63488175,5993,76867,100000,4991.8
108,-1423.6041211406352,0.008897145252665937,-2.6021120360087195,0.6314665,5873,77586,100000,5039.9
109,-1344.915015470543,0.008840663789809852,-2.706583797155405,0.62805125,5682,78305,100000,5084.1
110,-1372.3899531498805,0.008334712655497213,-2.6326848565771743,0.624636,5879,79024,100000,5130.4,-1315.4460960726024,42.13111970280971,0.40627900837549935,7.495965657031016,0.2829291662297294
111,-1377.8050876516245,0.0086049671539996,-2.692128804950254,0.62122075,5844,79743,100000,5210.9
112,-1295.111589111123,0.008436065205699455,-2.754940990002072,0.6178055,5538,80462,100000,5256.2
113,-1418.9875210550988,0.008282130257457606,-2.552877012823857,0.61439025,5985,81181,100000,5307.9
114,-1446.9092246753921,0.008399865946281414,-2.652673179697864,0.61097975,6054,81899,100000,5360.4
115,-1402.2288508194013,0.008505435657953787,-2.537579629546111,0.6075645000000001,5711,82618,100000,5408.1
116,-1433.5486144463707,0.008692296633515263,-2.553805672784677,0.6041540000000001,5877,83336,100000,5456.7
117,-1317.095421483786,0.00862444528447933,-2.745812024870775,0.6007435000000001,5691,84054,100000,5502.3
118,-1428.4862435026407,0.008813623184847198,-2.5788173577791875,0.597333,5976,84772,100000,5551.7
119,-1351.3140889462738,0.009005065521865648,-2.6684951238998007,0.59391775,5783,85491,100000,5600.1
120,-1364.1901063554403,0.008540930245729923,-2.7238759334612634,0.5905025,5928,86210,100000,5648.6,-1316.6527184000163,65.59486205613248,0.40615703609040976,7.486648978007577,0.28046083608594385
121,-1311.3538422616125,0.008315009988272157,-2.618826055109479,0.58708725,5514,86929,100000,5727.3
122,-1352.0665755465698,0.00876013817545538,-2.7530562303246726,0.583672,5826,87648,100000,5776.0
123,-1336.7249446205155,0.008492019133890994,-2.775378160696171,0.58026625,5730,88365,100000,5819.1
124,-1447.7397422649146,0.00835218603536177,-2.5363610118999147,0.57685575,6015,89083,100000,5858.9
125,-1403.4069967031255,0.008979947211865824,-2.596246471150627,0.5734405,5698,89802,100000,5897.4
126,-1408.2004890770756,0.00910996625005137,-2.5839359379970817,0.57002525,5733,90521,100000,5942.7
127,-1415.8428569399473,0.009045153088678513,-2.5324501468212923,0.5666147500000001,5741,91239,100000,5988.5
