episode,ep_reward,avg_loss,avg_v_now,n_decisions,n_transitions,n_updates,wall_time_s,train_CR,train_WT,train_DU,val_reward_mean,val_reward_std,val_CR,val_WT,val_DU
21,-2542.944176572278,0.046179856324719416,-0.9555096674979786,9449,9449,296,16.568123817443848,0.6260425073984396,5.493474361284002,0.43367865122892546,,,,,
22,-2347.5405632720785,0.041292844232489946,-0.9422356901293747,8970,8970,281,15.766622066497803,0.6407521751333146,5.316394994297805,0.4246747301109093,,,,,
23,-2378.876272870793,0.04553111948272479,-0.960628973984345,8940,8940,280,15.903876066207886,0.6270285394515949,5.294675269785228,0.4177913304833744,,,,,
24,-2401.893073515889,0.046116442969839404,-0.9580165815880345,8868,8868,278,15.315354824066162,0.614207650273224,5.394495826401227,0.43898702235039655,,,,,
25,-2330.594589464001,0.043693345492715786,-1.0962128585756572,8863,8863,277,15.26272988319397,0.6230425055928411,5.285992459723281,0.42542816723354304,,,,,
26,-2375.500178850556,0.04503139045819531,-1.1206705400556458,8723,8723,273,14.950464010238647,0.6354401805869074,5.465658560751852,0.45001198035222234,,,,,
27,-2198.7993247663526,0.047013819744661164,-1.112524078880806,8379,8379,262,14.484175205230713,0.6314723748915244,5.232422111793471,0.41154170800693035,,,,,
28,-2407.149407461977,0.04966836166483435,-1.1179426439827216,8797,8797,275,15.1460862159729,0.612565445026178,5.397644207851207,0.4337395222282362,,,,,
29,-2461.1362048238166,0.05369160425256599,-1.1289263036757216,8785,8785,275,15.337803840637207,0.6155543298400441,5.5563808757742255,0.44555147441521553,-2384.8108983129086,62.87974666701572,0.6086582093182514,5.514885662184342,0.4259105519591765
30,-2404.9850146747754,0.049310832128890314,-1.3289782682717286,8835,8835,277,16.29035234451294,0.5947426067907996,5.426258082937751,0.43647227895015506,,,,,
31,-2340.256618302672,0.0458564068639168,-1.3351685522619927,8634,8634,270,15.022794961929321,0.6042245692051139,5.52891724431066,0.424561980014638,,,,,
32,-2434.0507202612125,0.04530873539808549,-1.3327674806543057,9115,9115,285,15.816415071487427,0.6294277929155313,5.245919265211466,0.43873197115384616,,,,,
33,-2320.405193324821,0.04266119582493874,-1.3293498329596944,8787,8787,275,15.283606052398682,0.6157082748948106,5.377063565569636,0.41569539223383056,,,,,
34,-2316.7166301759376,0.05002020746503612,-1.338441903183659,8706,8706,273,15.061227798461914,0.629587803500847,5.338577097381249,0.4229081442915582,,,,,
35,-2365.272672885354,0.045753131820635354,-1.4569471054559149,8864,8864,277,15.3158278465271,0.6174306734578382,5.3256010126993525,0.4149000965609448,,,,,
36,-2426.838767352311,0.04251849626249988,-1.4732454299480429,9081,9081,284,16.128422260284424,0.6278941565600882,5.408829406473829,0.43284693922264583,,,,,
37,-2259.7389367467576,0.04272674890475629,-1.4713221540759576,8655,8655,271,15.023068904876709,0.6308781869688386,5.349564066346834,0.4162604589008853,,,,,
38,-2449.3287890027627,0.04892017415425341,-1.4820608300028637,8939,8939,280,15.757433891296387,0.6171745152354571,5.449591143657699,0.44721208326333634,,,,,
39,-2328.701351096184,0.045208099284432694,-1.468682048322423,8656,8656,271,14.879145860671997,0.6218463302752294,5.485665992356198,0.40450916747083077,-2432.202267078653,55.035306468616156,0.5993977051132642,5.507348877051963,0.4342903738801186
40,-2376.9575868252496,0.04804620342065873,-1.7254303732992764,9027,9027,283,15.782166957855225,0.6460481099656358,5.35803286180244,0.4239842726081258,,,,,
41,-2426.334179940962,0.05083238987726275,-1.7331480260080299,8739,8739,274,15.15864109992981,0.582972972972973,5.4514007816659324,0.4336132209826727,,,,,
42,-2335.9312163660684,0.05782041972335637,-1.736774723453412,8519,8519,267,14.773576974868774,0.6071719641401793,5.4465922529352255,0.4494053510788957,,,,,
43,-2375.1168576761297,0.05058120333549557,-1.7181503572627606,8918,8918,279,15.484142065048218,0.6268490092101591,5.319312758362928,0.4191067034084378,,,,,
44,-2342.7556914660267,0.054988355531617454,-1.7258243028086526,8676,8676,272,14.975386142730713,0.6124895455812657,5.416463759165138,0.4180174609484269,,,,,
45,-2522.506986928593,0.06082472358813462,-1.8400705903903147,8856,8856,277,15.453740119934082,0.5887140531741726,5.689567546142989,0.4518759708447843,,,,,
46,-2298.025722657441,0.05626543545680031,-1.8238230938266253,8588,8588,269,15.10819387435913,0.6247942951179375,5.132625782570231,0.428277071459886,,,,,
47,-2546.6717183974506,0.05454928840584666,-1.8325923692092847,9243,9243,289,16.069072246551514,0.6106457714131316,5.436297840605692,0.4430306791984394,,,,,
48,-2370.9179543929863,0.052214952661534364,-1.8253451907290732,8802,8802,276,15.283148050308228,0.6244065903378945,5.423780928913397,0.4275547138689922,,,,,
49,-2329.126841816405,0.05431542545209514,-1.8289776564395028,8576,8576,268,14.872352123260498,0.6099585062240664,5.310874891659448,0.42873471084194276,-2410.7582316096023,48.76563752526793,0.6021279125900469,5.466819566805412,0.42426660755547924
50,-2541.8967437178744,0.05795966616291423,-1.953705163439761,9161,9161,287,16.296136140823364,0.6342327609702917,5.422149999188359,0.4476619916259187,,,,,
51,-2333.1131831793864,0.04730947055570754,-1.9499450283936965,8736,8736,273,15.140622854232788,0.625622578859989,5.311188663020404,0.44448083851948905,,,,,
52,-2431.228558986529,0.05238809206939015,-1.9571287067038363,8683,8683,272,15.026845932006836,0.584581857804413,5.59752087668123,0.4413351063035066,,,,,
53,-2406.8994088536524,0.05590290350262144,-1.9634351306968576,8661,8661,271,14.896045207977295,0.5920758928571429,5.629124253785331,0.4220685724570297,,,,,
54,-2341.1702721874,0.05518105880495299,-1.9537514117651806,8613,8613,270,14.961112022399902,0.6253405994550408,5.239845891986796,0.43893755632044673,,,,,
55,-2340.2405272082333,0.052783702614815964,-2.1000363258090986,8423,8423,264,14.529891729354858,0.6009274413529733,5.605884586769231,0.43476694438189595,,,,,
56,-2502.209723827854,0.05507333282954418,-2.120836061177821,9122,9122,286,15.861310005187988,0.6173215273934698,5.509934028972574,0.43619660497075585,,,,,
57,-2216.174573446781,0.05320453891226162,-2.093162071895496,8317,8317,260,14.293155908584595,0.582749929991599,5.399520489348796,0.39147252356393386,,,,,
58,-2324.39169735361,0.0554679885684523,-2.096457480672288,8539,8539,267,14.727672100067139,0.6328102710413694,5.463971717881727,0.43361209248244714,,,,,
59,-2355.1481126193858,0.05389089044855928,-2.1122864747214303,8858,8858,277,15.305400848388672,0.6310788149804359,5.3462344708835445,0.43409933506446724,-2362.6104880284947,109.66615094547343,0.6193960530494012,5.394928861047993,0.4154409156374559
60,-2367.1536161051777,0.05210623563694287,-2.159646738693539,8850,8850,277,15.39034914970398,0.6171769168247088,5.380421272699469,0.43932539270510407,,,,,
61,-2465.9077793444144,0.05715753529559482,-2.1786463882996245,8771,8771,275,15.10620379447937,0.5942796610169492,5.584386802343811,0.45450113747156323,,,,,
62,-2563.7702496554402,0.05063581925568696,-2.1759222542458634,9235,9235,289,16.08355212211609,0.6245585438739473,5.4927318262461435,0.4546034856447255,,,,,
63,-2370.748093371881,0.04751999964438645,-2.1659214469446892,8952,8952,280,15.54535698890686,0.6446514253457521,5.36018104038259,0.43683811257775756,,,,,
64,-2398.8867811146056,0.05853047977241905,-2.18579441752049,8502,8502,266,14.786191940307617,0.5995665131400705,5.613653541107658,0.45357326789663427,,,,,
65,-2332.4853858966517,0.05231287385239388,-2.276762020210588,8530,8530,267,14.819528102874756,0.610940552609545,5.483685470138751,0.44164780443639656,,,,,
66,-2290.528023273503,0.04742818321979974,-2.272577532713219,8457,8457,265,14.589062929153442,0.5972875726543039,5.590723415382091,0.4213002306665048,,,,,
67,-2265.1249115244996,0.04423987448285773,-2.2644363947955557,8475,8475,265,14.494567155838013,0.5923227794900532,5.416379963156431,0.41381556030108896,,,,,
68,-2329.739208024104,0.0506517863797402,-2.2763996863491323,8505,8505,266,14.790817022323608,0.5885374425520411,5.580869785449984,0.42308884983978384,,,,,
