episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,n_completion_bonus,global_abm_step,buffer_size,wall_time_s
46,-2644.163110227979,0.3625800418425006,10.04971331460541,0.6859395,9064,2306,33059,100000,4386.2
47,-2669.7734680489166,0.3707259119562962,10.560515855208338,0.6791185,9480,2263,33777,100000,4488.2
48,-2555.6142364534985,0.373562112338233,10.468363818199231,0.6722975,8885,2176,34495,100000,4585.0
49,-2566.6788573944114,0.3702830876212522,10.709533319781409,0.665467,9130,2209,35214,100000,4684.9
50,-2724.22133094411,0.36551255460708587,10.180832682227406,0.6586460000000001,8944,2257,35932,100000,4782.4,-2597.7636772855462,36.72162010691927,0.6108107021307423,5.579385394882324,0.425723375257554
51,-2715.142264786492,0.3714418699946528,10.401780082551975,0.6518155,9134,2276,36651,100000,4928.3
52,-2671.016075465066,0.36846899508418474,10.6704696395718,0.644985,9193,2208,37370,100000,5029.3
53,-2426.0507879537704,0.36460317002200543,10.827251701215415,0.6381545,8661,2161,38089,100000,5124.1
54,-2519.3976086120274,0.363654681027491,10.774487100096769,0.631324,8693,2253,38808,100000,5218.8
55,-2500.228796035108,0.3751620428418325,11.08905839555158,0.624503,9017,2258,39526,100000,5317.5
56,-2629.494693819893,0.3717497000577617,10.665482332655422,0.6176725000000001,9064,2245,40245,100000,5414.9
57,-2581.8769558433646,0.3687383942835383,10.70690743572484,0.610842,8797,2122,40964,100000,5511.9
58,-2535.87282547003,0.37109095982961215,10.339860431329821,0.6040115,8480,2148,41683,100000,5605.0
59,-2481.493887944621,0.3714332339670912,10.755950470050186,0.5971905,8639,2227,42401,100000,5700.1
60,-2557.8546334648354,0.3661444888069511,10.641037920568142,0.59036,8714,2159,43120,100000,5795.2,-2597.707533759357,57.095450444722886,0.6129657705294778,5.662294564630566,0.42257068790432395
61,-2641.5210468022283,0.37004174215106794,10.893077609056126,0.5835295,9272,2306,43839,100000,5942.6
62,-2697.0433607559344,0.3733800407124794,11.01077075691853,0.5767180000000001,9356,2285,44556,100000,6045.2
63,-2542.858821862465,0.3692364414445838,10.428603290981716,0.5698875000000001,8550,2177,45275,100000,6138.5
