combo_idx,combo_key,param_no_driver_threshold_steps,param_search_radius_km,param_n_drivers,param_p_cancel_per_step,param_patience_scale,param_acceptance_beta_a,CR_mean,CR_std,WT_mean,WT_std,DU_mean,DU_std,cancel_rate_mean,no_driver_rate_mean,acceptance_rate_mean,n_patterns_passed,pom_pass,mape_weighted,pass_threshold,mape_CR,mape_WT,mape_DU,mape_cancel_rate,mape_no_driver_rate,n_seeds,elapsed_s,error
4,acceptance_beta_a=6.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,200,0.5,12.0,6.0,0.49023449382933243,0.0057178785425801935,4.758654392542181,0.21076825716565428,0.4792974930251397,0.017636740505735025,0.16137777276925938,0.3455170314650012,0.22645999306951126,0,False,56.30421861555663,False,20.333377924184276,89.18373057496532,24.69034821920189,37.90837586105287,176.98997158610587,3,4.2,
9,acceptance_beta_a=4.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=8.0|search_radius_km=1.5,1,1.5,200,0.7,8.0,4.0,0.46246764664414036,0.007901042430397515,4.066707110734082,0.02084780986349853,0.44327649970155464,0.016555253133500928,0.2781122479915585,0.2566335308230782,0.19575207259960536,1,False,40.68682443989429,False,24.845689784699193,61.67486833466079,30.350149289464028,7.006317378169595,105.73490721810317,3,4.17,
1,acceptance_beta_a=6.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,200,0.5,8.0,6.0,0.4841693199780992,0.006585429896571937,4.193346244317219,0.21720749116307927,0.4659053621080797,0.006753918210325663,0.19720090897423334,0.3147370924650595,0.23048136056752078,0,False,48.48235154311759,False,21.319012185160073,66.70949824297824,26.79458771689054,24.125085445352823,152.3146773093908,3,4.3,
2,acceptance_beta_a=8.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,200,0.5,8.0,8.0,0.4922997226757544,0.0027226732506767807,4.029775929542332,0.09251066256195212,0.45820363640979744,0.008169592831543237,0.19868158719990436,0.30637245601183355,0.23930488067915776,0,False,46.48228701934776,False,19.997763421167992,60.20664264393925,28.004721900543444,23.555380496019175,145.60901535205295,3,4.31,
0,acceptance_beta_a=4.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,200,0.5,8.0,4.0,0.47572001074185133,0.013457033676872789,4.452698170977985,0.18018520818610925,0.45433821863482166,0.012892795994967088,0.22678685204270654,0.29537747087056465,0.19969469152429578,0,False,47.02354923519259,False,22.692085549435,77.02022076453478,28.61207593609953,12.74161407082496,136.79468683991934,3,4.35,
6,acceptance_beta_a=4.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=16.0|search_radius_km=1.5,1,1.5,200,0.5,16.0,4.0,0.4941858269913129,0.020512370607968546,5.353025041674382,0.12260489455322417,0.47995801918302045,0.016392776299127394,0.15450163437818196,0.3474524805585202,0.1987437414364849,0,False,60.06637141220549,False,19.691257939414854,112.81336354921936,24.586563000906374,40.554035131097606,178.54155932447898,3,4.32,
5,acceptance_beta_a=8.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,200,0.5,12.0,8.0,0.48049434081825265,0.015233292971740085,4.450337719922786,0.07927823199932657,0.4936643514474568,0.009223994654727662,0.14555696328441178,0.3702992466336232,0.24857375481273572,0,False,58.06819970639295,False,21.91622266208322,76.92637933382233,22.432954594754168,43.99558191954527,196.85708217770832,3,4.4,
7,acceptance_beta_a=6.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=16.0|search_radius_km=1.5,1,1.5,200,0.5,16.0,6.0,0.493029583877127,0.03863414480095388,5.006809887966104,0.20434323231247678,0.48873035572743034,0.011201881092436904,0.13021193350135338,0.37391826550102647,0.22624970920843376,0,False,62.126017386690464,False,19.879155740089978,99.04933091369811,23.208209013920616,49.89972723857219,199.75833404654176,3,4.39,
3,acceptance_beta_a=4.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,200,0.5,12.0,4.0,0.4702102626113138,0.012950682434320095,5.046608880677868,0.03975064293801266,0.4781186707377189,0.01783164373988311,0.18559091657466656,0.3405927039211793,0.19772769297325188,0,False,57.02743765071879,False,23.587459146302454,100.63156851560035,24.87557075274109,28.59213981076822,173.04229543057582,3,4.42,
8,acceptance_beta_a=8.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=16.0|search_radius_km=1.5,1,1.5,200,0.5,16.0,8.0,0.5104572540316701,0.01799711946947184,4.7827187119846135,0.09911477400173718,0.487577532637836,0.011082845784292621,0.12142627995701578,0.3661904299576773,0.2467607033394228,0,False,59.693778851588014,False,17.047034317913372,90.1404249154919,23.38934642170101,53.28009052112912,193.5631750452663,3,4.51,
14,acceptance_beta_a=8.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=12.0|search_radius_km=1.5,1,1.5,200,0.7,12.0,8.0,0.47589786793390854,0.00717848803032772,4.23370595692796,0.08241411348874222,0.47475999527019747,0.014294286565052952,0.1859080505322025,0.33565010938296264,0.24149091648147694,0,False,51.71387044207806,False,22.66318247981946,68.31402766806104,25.403302868148756,28.470119521634764,169.0799752089142,3,4.27,
10,acceptance_beta_a=6.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=8.0|search_radius_km=1.5,1,1.5,200,0.7,8.0,6.0,0.4633395388603255,0.004259362869510358,3.9219246964427796,0.0469367829768873,0.46721021583277295,0.011564160516638411,0.24222436767339642,0.2914856689435607,0.22967765790551367,1,False,42.71181482170304,False,24.70400104481659,55.91893924256166,26.58956248504279,6.8018839473311,133.6747535023097,3,4.43,
11,acceptance_beta_a=8.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=8.0|search_radius_km=1.5,1,1.5,200,0.7,8.0,8.0,0.48108558828608544,0.0180661724959746,3.753322094044483,0.036391143724604745,0.4606592263268526,0.014357984939312486,0.22725522979270577,0.2883954438634235,0.24624066588806248,0,False,41.693271028717405,False,21.8201407070882,49.21602142689796,27.61888716478746,12.561401302307083,131.1974187280655,3,4.52,
15,acceptance_beta_a=4.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=16.0|search_radius_km=1.5,1,1.5,200,0.7,16.0,4.0,0.47633240867697807,0.01942859223397779,5.239117719609049,0.18719881849084932,0.4714604190231227,0.015866292643112612,0.17751524707035793,0.3414146938091131,0.1960760397610292,0,False,58.67344506878995,False,22.592566491776164,108.28489597193614,25.921749014451382,31.699330019972827,173.70125847716565,3,4.43,
13,acceptance_beta_a=6.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=12.0|search_radius_km=1.5,1,1.5,200,0.7,12.0,6.0,0.48299712365819697,0.018336383632911447,4.463344201410125,0.09307232017876964,0.4717370256771392,0.013851674431243532,0.19154478562832403,0.3218937996723957,0.22693982202218865,0,False,50.938907722716586,False,21.509502496208693,77.44346136719828,25.878287174785257,26.301332389719036,158.0519809601109,3,4.52,
