combo_idx,combo_key,param_no_driver_threshold_steps,param_search_radius_km,param_n_drivers,param_p_cancel_per_step,param_patience_scale,param_acceptance_beta_a,param_acceptance_beta_b,CR_mean,CR_std,WT_mean,WT_std,DU_mean,DU_std,cancel_rate_mean,no_driver_rate_mean,acceptance_rate_mean,n_patterns_passed,pom_pass,mape_weighted,pass_threshold,mape_CR,mape_WT,mape_DU,mape_cancel_rate,mape_no_driver_rate,n_seeds,elapsed_s,error
1,acceptance_beta_a=5.0|acceptance_beta_b=2.0|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,5.0,2.0,0.6075317835214942,0.014889105829663317,3.839128566183993,0.11907916447583594,0.4212963303530511,0.00747733471270009,0.19555149344008657,0.19307461209767016,0.22018339062499145,1,False,28.902829759450075,False,1.2717268856587611,52.627319488860635,33.80378492037677,24.75971366978381,54.78175154543502,3,4.79,
5,acceptance_beta_a=6.0|acceptance_beta_b=3.0|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,6.0,3.0,0.5816860152649602,0.009093704657628139,4.125235055081803,0.027891984025610977,0.4144920212203645,0.013053840219062645,0.20662581549422612,0.20783855478839786,0.20154533191318635,0,False,33.11535851585284,False,5.471849638892094,64.00168888963506,34.87291246401834,20.498763535328425,66.6175329801855,3,4.77,
7,acceptance_beta_a=7.0|acceptance_beta_b=2.0|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,7.0,2.0,0.6326582098257174,0.0036561276548314307,3.6765671465598344,0.09957030996546481,0.4274340282347946,0.006161169463977765,0.1807341441076158,0.18309127663299093,0.23814901004928726,1,False,27.815089310850592,False,2.8114976399317655,46.16457324272461,32.839398715699495,30.460828945446544,46.778430276520474,3,4.82,
9,acceptance_beta_a=5.0|acceptance_beta_b=1.5|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=8.0|search_radius_km=1.5,1,1.5,275,0.4,8.0,5.0,1.5,0.6379600713632115,0.00824482543558145,3.849559505366306,0.08996263225219685,0.43744794501298623,0.013171290630508644,0.1560903025821783,0.20124367336896531,0.2396823668248871,1,False,32.02764502427366,False,3.6730881740994676,53.04200898406819,31.265961348506867,39.942780016398025,61.33062712423671,3,4.82,
3,acceptance_beta_a=6.0|acceptance_beta_b=1.5|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,6.0,1.5,0.6415526603304832,0.013407569687440718,3.541139334159382,0.008935450642079477,0.4255267202466027,0.005647422420051953,0.16405887926112858,0.19014777598523244,0.24641309851127247,1,False,29.269246699178407,False,4.256909653681065,40.78054308208146,33.139084615416756,36.876794784471386,52.43540048950036,3,4.86,
0,acceptance_beta_a=5.0|acceptance_beta_b=1.5|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,5.0,1.5,0.6143680434704168,0.009653133060716388,3.6886802974678647,0.073836803272004,0.43160993094673744,0.0053060374991271185,0.1802052824357773,0.20141263739123227,0.23668409053084408,1,False,29.066374938118333,False,0.1607856022156184,46.64614027591578,32.183259712922755,30.66431347485719,61.4660801857786,3,4.9,
4,acceptance_beta_a=6.0|acceptance_beta_b=2.0|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,6.0,2.0,0.5889466077496018,0.015531978632506533,3.857885787336509,0.10736842331954066,0.4362758084209502,0.010167124485333046,0.1933843610434852,0.21369686596641357,0.22853622529489268,1,False,31.68066971349333,False,4.291951274331436,53.37302631691142,31.450133391695783,25.593538352824304,71.31395399266317,3,4.96,
6,acceptance_beta_a=7.0|acceptance_beta_b=1.5|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,7.0,1.5,0.6279626851458637,0.015480365111319278,3.623832831227702,0.05903665646857103,0.44761790907656757,0.022815267570187626,0.16754620288336394,0.19996649284482818,0.2548844378790265,1,False,29.048963053255445,False,2.048441194850613,44.06808257942183,29.6680050407918,35.53501404300389,60.30675227907757,3,5.07,
8,acceptance_beta_a=7.0|acceptance_beta_b=3.0|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,7.0,3.0,0.5978434848227484,0.012584673861549154,4.005234135955946,0.13383375473343134,0.43787793339128345,0.0048600509962549165,0.20159772280845192,0.1962550987261451,0.21816341781664383,1,False,29.583552925925964,False,2.8461449258126192,59.23096597514193,31.19839939479213,22.433369744247127,57.33144612088318,3,5.09,
2,acceptance_beta_a=5.0|acceptance_beta_b=3.0|n_drivers=275|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=6.0|search_radius_km=1.5,1,1.5,275,0.4,6.0,5.0,3.0,0.5780429760262891,0.01907925779153102,4.169770280735743,0.1047077701763308,0.4062978224256739,0.015478095333036679,0.22998329346814508,0.1886581289629554,0.18828205056528832,0,False,30.42482317379166,False,6.063869649494654,65.77221884121434,36.16042651704598,11.511753005297248,51.241198036948774,3,5.23,
