strategy,CR_mean,CR_std,mean_WT_min_mean,mean_WT_min_std,mean_DU_mean,mean_DU_std,cancel_rate_mean,cancel_rate_std,no_driver_rate_mean,no_driver_rate_std,acceptance_rate_mean,acceptance_rate_std,total_assignments,total_rejections
random,0.6149864994828242,0.019718769498833534,3.8173359031429626,0.09811275178274642,0.44025500846108867,0.009775396222260006,0.26884576638916713,0.009778455388707644,0.11240346563335539,0.01420589874088756,0.25038054778493773,0.00672566031013829,2235.1,6697.3
greedy,0.608930431751393,0.015333983432233413,3.63495564396692,0.1499026379364001,0.43842902098339165,0.012148929405401458,0.26776165924423073,0.013330242243716239,0.11983594107130002,0.005568490452574923,0.2553446787436196,0.00796697588841375,2227.9,6499.9
hungarian,0.44912359311785954,0.010633850490885834,4.978916797113162,0.09538592241169083,0.3121211678024679,0.01253050701148859,0.45623844181277856,0.012149204852790347,0.09227398120979811,0.010243235742335937,0.2714306550782572,0.009155419216264818,1624.5,4366.3
hungarian_resolve,0.6238159191872285,0.019584322214011126,3.560655204287901,0.15088960230042708,0.43342272064829845,0.016015351282262173,0.26017471425391264,0.013275667755406116,0.11233421306282065,0.011434393856393872,0.2580511591418754,0.008240958534864498,2251.3,6478.1
target,0.6153574496516179,0.0,2.51536132524701,0.0,0.6364356781521427,0.0,0.2599026438866088,0.0,0.12473990646177341,0.0,0.8752600935382266,0.0,,
